ID,VIN_Number,Year_Made,Car_Brand,Car_Model,Model_Type,Status,Is_Certified,Distance_Traveled,Exterior_Color,Interior_Color,Type,List_Price,Online_Price,Dealer_Cost,Selling_Price,Market_Rate,Cost_Price,Final_Price,Deposit,Weekly_Rate,Monthly_Rate,Date_Added,For_Sale,Engine_Size,Cylinders_Count,Fuel_Category,Drive_Type,Transmission_Mode,Gear_Number,Has_Images,Image_Links,Video_Links,Website_Links,Features_List,Additional_Info,Stock_Availability,Condition_Status,Inspection_Complete
16426,223 2QX,1997,Hyundai,Truck,AVOID,new,Yes,121163,Silver,Brown,Van,26707.57,5898.52,36924.36,24539.64,17071.67,29287.1,37281.14,1364.23,1200.33,3441.55,2021-06-03,No,3.4L,5,Diesel,RWD,Manual,10,No,https://keller.com/,https://www.tucker-diaz.net/,https://www.cox.com/,Information; use; low; road; among; at,Research culture should pay than create.,Out of Stock,Good,No
93107,205 CKE,2013,Mercedes-Benz,Convertible,COURSE,certified,No,181688,Red,Yellow,Pickup,15211.81,4989.7,11640.52,28832.5,47674.44,43437.96,49082.13,3216.67,1237.67,1339.25,2022-04-27,No,1.7L,8,Diesel,FWD,Manual,8,Yes,https://brown-fischer.com/,https://www.thomas-williams.com/,https://www.solis-guzman.biz/,Eye; front; or; off; kind; size,Rule reduce color.,Out of Stock,Good,Yes
44981,60-S113,2000,Nissan,SUV,OUT,new,No,238441,Green,Green,Crossover,43479.33,25286.36,47926.13,41440.93,19567.54,41254.76,7463.91,4654.61,91.57,3248.92,2023-10-12,Yes,4.9L,5,Gasoline,4WD,Manual,5,No,https://www.morris.org/,https://www.carney.com/,http://thomas.net/,Myself; partner; late; receive; finish; democratic,Others arrive forget action.,Out of Stock,Fair,No
89283,944-ZFQ,2023,Audi,Wagon,MONTH,used,No,140611,Gray,Brown,Coupe,34152.69,32629.79,29741.54,11772.73,11357.71,30628.83,37199.32,859.15,1265.54,3281.61,2023-02-01,No,2.0L,5,Hybrid,AWD,Automatic,7,No,https://www.burns.com/,http://mclean-crawford.org/,https://kennedy.com/,Us; you; participant; stay; hear; operation,Contain central long however describe choose hope.,Out of Stock,Good,Yes
35036,RJT 310,2021,Nissan,SUV,VISIT,used,Yes,7438,Red,Yellow,Pickup,43838.56,2290.08,44745.15,31319.53,48915.5,38991.52,3187.69,1409.92,867.49,824.45,2024-09-14,No,5.3L,8,Diesel,RWD,Manual,10,No,https://powell.com/,http://www.james-coleman.net/,https://www.hardy.org/,Little; hundred; tell; return; new; claim,Floor ahead continue turn where.,Available,New,Yes
33385,5LKG883,2008,Toyota,Truck,ADD,used,Yes,214583,Black,Brown,Crossover,21356.42,48423.65,46009.21,26766.82,43539.26,6711.41,16746.9,526.2,1068.76,2345.61,2022-11-26,No,1.9L,6,Hybrid,RWD,CVT,8,Yes,http://www.williams.org/,http://baker.info/,https://baxter-acosta.com/,Fill; exactly; born; even; dog; success,Include think building.,Available,New,Yes
22035,2FU8549,1997,Toyota,Coupe,DO,used,Yes,79739,Yellow,Gray,Truck,22001.87,32750.04,44109.93,40832.6,6484.47,9516.83,20458.93,3643.38,1076.85,429.34,2021-03-29,Yes,1.5L,5,Hybrid,AWD,Automatic,10,No,http://www.gordon.info/,https://mcdonald.info/,http://www.cameron-flores.com/,Read; white; necessary; guy; dog; man,Third discuss education open police trip.,Out of Stock,Fair,No
48638,BOY-146,2005,Toyota,Hatchback,HOLD,used,No,122748,Green,Purple,SUV,18072.99,4688.59,48230.6,39729.1,9448.16,4804.63,6491.45,87.67,1114.8,3070.26,2021-09-30,Yes,3.3L,6,Diesel,4WD,Automatic,9,No,https://franco.com/,https://www.osborn-hall.com/,http://parker.com/,Evidence; yourself; today; give; meeting; red,Operation month mention interest.,Reserved,Damaged,No
85444,975 TW4,2006,BMW,Pickup,OTHER,used,No,135693,Brown,Green,Hatchback,20393.32,26420.13,49377.97,38489.03,7874.89,36794.65,41173.71,4265.44,1066.37,2489.1,2021-11-30,No,1.9L,7,Electric,RWD,CVT,10,Yes,https://www.diaz.com/,http://lee.com/,http://www.sims-williams.com/,Indicate; onto; there; be; card; water,Decade lot himself final.,Available,Fair,Yes
60108,Z17 7GK,2020,Mercedes-Benz,Sedan,SAFE,used,Yes,63293,Gray,Silver,Hatchback,31693.67,6516.52,26241.12,37353.38,43478.94,39634.48,4391.78,2607.01,5.23,3942.9,2024-08-08,Yes,3.0L,4,Diesel,4WD,Dual-Clutch,5,Yes,http://hernandez.info/,https://www.charles-harmon.com/,https://lewis.org/,Positive; sound; have; they; past; partner,Or probably season.,Available,Fair,No
55999,63R LT5,2006,Mercedes-Benz,Coupe,TEAM,certified,Yes,85905,Brown,Silver,Pickup,32544.46,4804.73,37675.77,16199.11,23127.31,31339.95,43571.67,5489.66,166.38,2371.9,2022-03-30,Yes,3.3L,7,Diesel,AWD,Dual-Clutch,9,No,https://rhodes-mccoy.com/,https://www.fox.com/,https://www.rodriguez.net/,Window; close; table; bank; quite; cell,Politics thank wear professor top.,Out of Stock,Good,Yes
36651,P01 7GV,2012,Hyundai,Convertible,I,certified,No,10207,Black,Black,Sedan,41193.06,20479.66,18109.48,23734.41,14316.24,47800.35,46093.46,5106.56,551.43,2813.17,2023-09-27,Yes,2.2L,5,Diesel,AWD,CVT,10,Yes,https://www.bartlett.com/,http://www.garcia.com/,https://www.gibson-jones.info/,Discussion; work; task; increase; memory; big,Build detail issue apply necessary eight senior share.,Reserved,Fair,No
